ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-25T18:05:00+00:00,249.906,3.465,10.978
2026-02-25T18:10:00+00:00,254.043,3.465,10.987
2026-02-25T18:15:00+00:00,253.372,3.465,10.989
2026-02-25T18:20:00+00:00,255.131,3.465,10.985
2026-02-25T18:25:00+00:00,251.179,3.465,10.991
2026-02-25T18:30:00+00:00,250.468,3.465,11.026
2026-02-25T18:35:00+00:00,249.729,3.465,11.053
2026-02-25T18:40:00+00:00,245.677,3.465,11.084
2026-02-25T18:45:00+00:00,246.56,3.465,11.082
2026-02-25T18:50:00+00:00,243.442,3.465,11.102
2026-02-25T18:55:00+00:00,240.886,3.465,11.108
2026-02-25T19:00:00+00:00,241.556,3.465,11.116
2026-02-25T19:05:00+00:00,239.204,3.465,11.068
2026-02-25T19:10:00+00:00,238.9,3.465,11.05
2026-02-25T19:15:00+00:00,237.452,3.465,11.052
2026-02-25T19:20:00+00:00,231.847,3.465,11.088
2026-02-25T19:25:00+00:00,232.702,3.465,11.086
2026-02-25T19:30:00+00:00,228.293,3.465,11.115
2026-02-25T19:35:00+00:00,227.308,3.465,11.128
2026-02-25T19:40:00+00:00,224.914,3.465,11.126
2026-02-25T19:45:00+00:00,224.622,3.465,11.147
2026-02-25T19:50:00+00:00,221.75,3.465,11.032
2026-02-25T19:55:00+00:00,217.973,3.465,11.028
2026-02-25T20:00:00+00:00,211.98,3.465,11.026
2026-02-25T20:05:00+00:00,213.104,3.465,11.029
2026-02-25T20:10:00+00:00,210.892,3.465,11.065
2026-02-25T20:15:00+00:00,211.578,3.465,11.059
2026-02-25T20:20:00+00:00,210.068,3.465,11.076
2026-02-25T20:25:00+00:00,208.209,3.465,11.115
2026-02-25T20:30:00+00:00,209.951,3.465,11.116
2026-02-25T20:35:00+00:00,203.635,3.465,11.102
2026-02-25T20:40:00+00:00,200.84,3.465,11.122
2026-02-25T20:45:00+00:00,198.178,3.465,11.131
2026-02-25T20:50:00+00:00,199.472,3.465,11.157
2026-02-25T20:55:00+00:00,195.596,3.465,11.174
2026-02-25T21:00:00+00:00,192.74,3.465,11.172
2026-02-25T21:05:00+00:00,191.329,3.465,11.192
2026-02-25T21:10:00+00:00,187.194,3.465,11.21
2026-02-25T21:15:00+00:00,186.282,3.465,11.051
2026-02-25T21:20:00+00:00,186.216,3.465,11.007
2026-02-25T21:25:00+00:00,186.072,3.465,11.012
2026-02-25T21:30:00+00:00,183.896,3.465,10.999
2026-02-25T21:35:00+00:00,180.337,3.465,11.01
2026-02-25T21:40:00+00:00,179.063,3.465,11.041
2026-02-25T21:45:00+00:00,180.111,3.465,11.073
2026-02-25T21:50:00+00:00,178.364,3.465,11.114
2026-02-25T21:55:00+00:00,174.482,3.465,11.104
2026-02-25T22:00:00+00:00,172.09,3.465,11.119
2026-02-25T22:05:00+00:00,167.774,3.465,11.046
2026-02-25T22:10:00+00:00,168.384,3.465,11.025
2026-02-25T22:15:00+00:00,164.678,3.465,11.046
2026-02-25T22:20:00+00:00,162.598,3.465,11.038
2026-02-25T22:25:00+00:00,159.557,3.465,11.077
2026-02-25T22:30:00+00:00,157.567,3.465,11.094
2026-02-25T22:35:00+00:00,155.854,3.465,11.086
2026-02-25T22:40:00+00:00,154.774,3.465,11.084
2026-02-25T22:45:00+00:00,153.995,3.465,11.103
2026-02-25T22:50:00+00:00,151.998,3.465,11.11
2026-02-25T22:55:00+00:00,148.306,3.465,11.046
2026-02-25T23:00:00+00:00,145.668,3.465,11.036
2026-02-25T23:05:00+00:00,144.203,3.465,10.98
2026-02-25T23:10:00+00:00,142.471,3.465,11.058
2026-02-25T23:15:00+00:00,141.076,3.465,11.083
2026-02-25T23:20:00+00:00,139.106,3.465,11.086
2026-02-25T23:25:00+00:00,136.978,3.465,11.08
2026-02-25T23:30:00+00:00,135.894,3.465,11.09
2026-02-25T23:35:00+00:00,136.71,3.465,11.084
2026-02-25T23:40:00+00:00,135.348,3.465,11.079
2026-02-25T23:45:00+00:00,136.17,3.465,11.081
2026-02-25T23:50:00+00:00,135.837,3.465,11.104
2026-02-25T23:55:00+00:00,132.276,3.465,11.116
2026-02-26T00:00:00+00:00,130.826,3.465,11.142
2026-02-26T00:05:00+00:00,141.448,3.465,11.07
2026-02-26T00:10:00+00:00,146.521,3.465,11.006
2026-02-26T00:15:00+00:00,145.705,3.465,10.972
2026-02-26T00:20:00+00:00,144.872,3.465,11.018
2026-02-26T00:25:00+00:00,144.538,3.465,11.048
2026-02-26T00:30:00+00:00,145.724,3.465,11.087
2026-02-26T00:35:00+00:00,152.012,3.465,11.02
2026-02-26T00:40:00+00:00,154.198,3.465,11.09
2026-02-26T00:45:00+00:00,155.932,3.465,11.123
2026-02-26T00:50:00+00:00,154.885,3.465,11.11
2026-02-26T00:55:00+00:00,154.886,3.465,11.08
2026-02-26T01:00:00+00:00,154.128,3.465,11.11
2026-02-26T01:05:00+00:00,156.403,3.465,11.11
2026-02-26T01:10:00+00:00,157.084,3.465,11.124
2026-02-26T01:15:00+00:00,157.146,3.465,11.139
2026-02-26T01:20:00+00:00,154.282,3.465,11.163
2026-02-26T01:25:00+00:00,152.946,3.465,11.174
2026-02-26T01:30:00+00:00,149.882,3.465,11.197
2026-02-26T01:35:00+00:00,149.992,3.465,11.194
2026-02-26T01:40:00+00:00,149.047,3.465,11.088
2026-02-26T01:45:00+00:00,147.848,3.465,11.125
2026-02-26T01:50:00+00:00,145.27,3.465,11.128
2026-02-26T01:55:00+00:00,144.876,3.465,11.124
2026-02-26T02:00:00+00:00,140.526,3.465,11.14
2026-02-26T02:05:00+00:00,143.787,3.465,11.027
2026-02-26T02:10:00+00:00,144.456,3.465,10.998
2026-02-26T02:15:00+00:00,143.011,3.465,11.007
2026-02-26T02:20:00+00:00,141.38,3.465,11.015
2026-02-26T02:25:00+00:00,141.147,3.465,11.054
2026-02-26T02:30:00+00:00,140.9,3.465,11.058
2026-02-26T02:35:00+00:00,141.882,3.465,11.067
2026-02-26T02:40:00+00:00,141.922,3.465,11.05
2026-02-26T02:45:00+00:00,142.214,3.465,11.008
2026-02-26T02:50:00+00:00,141.846,3.465,11.029
2026-02-26T02:55:00+00:00,139.392,3.465,11.032
2026-02-26T03:00:00+00:00,137.25,3.465,11.058
2026-02-26T03:05:00+00:00,137.769,3.465,11.05
2026-02-26T03:10:00+00:00,135.483,3.465,11.041
2026-02-26T03:15:00+00:00,132.916,3.465,11.06
2026-02-26T03:20:00+00:00,130.857,3.465,11.074
2026-02-26T03:25:00+00:00,130.025,3.465,11.1
2026-02-26T03:30:00+00:00,128.673,3.465,11.087
2026-02-26T03:35:00+00:00,129.675,3.465,11.074
2026-02-26T03:40:00+00:00,130.82,3.465,11.078
2026-02-26T03:45:00+00:00,129.997,3.465,11.092
2026-02-26T03:50:00+00:00,129.922,3.465,11.11
2026-02-26T03:55:00+00:00,125.763,3.465,11.125
2026-02-26T04:00:00+00:00,123.942,3.465,11.155
2026-02-26T04:05:00+00:00,124.648,3.465,11.125
2026-02-26T04:10:00+00:00,123.858,3.465,11.124
2026-02-26T04:15:00+00:00,123.488,3.465,11.115
2026-02-26T04:20:00+00:00,123.091,3.465,11.125
2026-02-26T04:25:00+00:00,122.583,3.465,11.124
2026-02-26T04:30:00+00:00,121.6,3.465,11.125
2026-02-26T04:35:00+00:00,121.542,3.465,11.122
2026-02-26T04:40:00+00:00,122.048,3.465,11.125
2026-02-26T04:45:00+00:00,122.84,3.465,11.142
2026-02-26T04:50:00+00:00,122.8,3.465,11.15
2026-02-26T04:55:00+00:00,121.784,3.465,11.106
2026-02-26T05:00:00+00:00,120.055,3.465,11.073
2026-02-26T05:05:00+00:00,120.818,3.465,11.019
2026-02-26T05:10:00+00:00,120.738,3.465,11.007
2026-02-26T05:15:00+00:00,121.218,3.465,11.002
2026-02-26T05:20:00+00:00,120.619,3.465,11.014
2026-02-26T05:25:00+00:00,122.631,3.465,10.993
2026-02-26T05:30:00+00:00,122.171,3.465,10.976
2026-02-26T05:35:00+00:00,119.908,3.465,10.967
2026-02-26T05:40:00+00:00,121.98,3.465,10.949
2026-02-26T05:45:00+00:00,124.705,3.465,10.944
2026-02-26T05:50:00+00:00,128.794,3.465,10.988
2026-02-26T05:55:00+00:00,129.142,3.465,11.067
2026-02-26T06:00:00+00:00,128.991,3.465,11.042
2026-02-26T06:05:00+00:00,132.627,3.465,10.984
2026-02-26T06:10:00+00:00,137.261,3.465,11.099
2026-02-26T06:15:00+00:00,140.298,3.465,11.127
2026-02-26T06:20:00+00:00,140.648,3.465,11.155
2026-02-26T06:25:00+00:00,141.712,3.465,11.13
2026-02-26T06:30:00+00:00,145.136,3.465,11.116
2026-02-26T06:35:00+00:00,149.052,3.465,11.074
2026-02-26T06:40:00+00:00,156.458,3.465,11.01
2026-02-26T06:45:00+00:00,157.596,3.465,11.026
2026-02-26T06:50:00+00:00,164.082,3.465,11.07
2026-02-26T06:55:00+00:00,162.413,3.465,11.062
2026-02-26T07:00:00+00:00,167.186,3.465,11.026
2026-02-26T07:05:00+00:00,171.423,3.465,10.977
2026-02-26T07:10:00+00:00,176.055,3.465,11.023
2026-02-26T07:15:00+00:00,178.119,3.465,11.05
2026-02-26T07:20:00+00:00,179.904,3.465,11.082
2026-02-26T07:25:00+00:00,186.915,3.465,11.054
2026-02-26T07:30:00+00:00,187.069,3.465,11.018
2026-02-26T07:35:00+00:00,189.662,3.465,10.97
2026-02-26T07:40:00+00:00,187.616,3.465,10.952
2026-02-26T07:45:00+00:00,193.22,3.465,10.984
2026-02-26T07:50:00+00:00,196.145,3.465,11.025
2026-02-26T07:55:00+00:00,200.53,3.465,11.008
2026-02-26T08:00:00+00:00,198.733,3.465,10.999
2026-02-26T08:05:00+00:00,198.34,3.465,11.059
2026-02-26T08:10:00+00:00,201.64,3.465,11.066
2026-02-26T08:15:00+00:00,202.464,3.465,11.106
2026-02-26T08:20:00+00:00,202.726,3.465,11.098
2026-02-26T08:25:00+00:00,204.723,3.465,11.102
2026-02-26T08:30:00+00:00,206.396,3.465,11.089
2026-02-26T08:35:00+00:00,207.588,3.465,11.083
2026-02-26T08:40:00+00:00,204.814,3.465,11.083
