ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T22:50:00+00:00,1.774,0.751,-1.746,11.34
2026-02-25T22:55:00+00:00,1.774,0.756,-1.725,11.351
2026-02-25T23:00:00+00:00,1.774,0.77,-1.723,11.326
2026-02-25T23:05:00+00:00,1.774,0.759,-1.707,11.24
2026-02-25T23:10:00+00:00,1.774,0.758,-1.7,11.25
2026-02-25T23:15:00+00:00,1.774,0.758,-1.702,11.244
2026-02-25T23:20:00+00:00,1.774,0.761,-1.67,11.261
2026-02-25T23:25:00+00:00,1.774,0.757,-1.65,11.255
2026-02-25T23:30:00+00:00,1.774,0.763,-1.616,11.268
2026-02-25T23:35:00+00:00,1.774,0.766,-1.656,11.253
2026-02-25T23:40:00+00:00,1.774,0.765,-1.656,11.248
2026-02-25T23:45:00+00:00,1.774,0.764,-1.644,11.257
2026-02-25T23:50:00+00:00,1.774,0.768,-1.644,11.262
2026-02-25T23:55:00+00:00,1.774,0.766,-1.646,11.27
2026-02-26T00:00:00+00:00,1.774,0.768,-1.642,11.285
2026-02-26T00:05:00+00:00,1.774,0.757,-1.773,11.236
2026-02-26T00:10:00+00:00,1.774,0.751,-1.916,11.247
2026-02-26T00:15:00+00:00,1.774,0.743,-1.979,11.247
2026-02-26T00:20:00+00:00,1.774,0.744,-2.004,11.349
2026-02-26T00:25:00+00:00,1.774,0.762,-2.011,11.376
2026-02-26T00:30:00+00:00,1.774,0.778,-1.966,11.343
2026-02-26T00:35:00+00:00,1.774,0.768,-2.01,11.264
2026-02-26T00:40:00+00:00,1.774,0.744,-2.098,11.24
2026-02-26T00:45:00+00:00,1.774,0.733,-2.152,11.253
2026-02-26T00:50:00+00:00,1.774,0.747,-2.146,11.26
2026-02-26T00:55:00+00:00,1.774,0.746,-2.15,11.259
2026-02-26T01:00:00+00:00,1.774,0.756,-2.13,11.285
2026-02-26T01:05:00+00:00,1.774,0.75,-2.17,11.279
2026-02-26T01:10:00+00:00,1.774,0.758,-2.159,11.286
2026-02-26T01:15:00+00:00,1.774,0.754,-2.12,11.288
2026-02-26T01:20:00+00:00,1.774,0.753,-2.129,11.292
2026-02-26T01:25:00+00:00,1.774,0.752,-2.122,11.308
2026-02-26T01:30:00+00:00,1.774,0.763,-2.094,11.326
2026-02-26T01:35:00+00:00,1.774,0.76,-2.081,11.338
2026-02-26T01:40:00+00:00,1.774,0.757,-2.073,11.352
2026-02-26T01:45:00+00:00,1.774,0.771,-2.064,11.368
2026-02-26T01:50:00+00:00,1.774,0.769,-2.026,11.378
2026-02-26T01:55:00+00:00,1.774,0.76,-2.03,11.375
2026-02-26T02:00:00+00:00,1.774,0.762,-2.015,11.368
2026-02-26T02:05:00+00:00,1.774,0.764,-2.028,11.312
2026-02-26T02:10:00+00:00,1.774,0.759,-2.016,11.29
2026-02-26T02:15:00+00:00,1.774,0.77,-1.983,11.308
2026-02-26T02:20:00+00:00,1.774,0.776,-1.974,11.309
2026-02-26T02:25:00+00:00,1.774,0.77,-1.964,11.321
2026-02-26T02:30:00+00:00,1.774,0.765,-1.981,11.318
2026-02-26T02:35:00+00:00,1.774,0.776,-1.984,11.326
2026-02-26T02:40:00+00:00,1.774,0.788,-1.966,11.349
2026-02-26T02:45:00+00:00,1.774,0.787,-1.942,11.355
2026-02-26T02:50:00+00:00,1.774,0.786,-1.935,11.364
2026-02-26T02:55:00+00:00,1.774,0.782,-1.936,11.369
2026-02-26T03:00:00+00:00,1.774,0.787,-1.906,11.39
2026-02-26T03:05:00+00:00,1.774,0.776,-1.915,11.372
2026-02-26T03:10:00+00:00,1.774,0.782,-1.886,11.362
