"Settlement Date","Cost_per_GVAs"
2021-09-19,0
2021-09-20,0
2021-09-21,0
2021-09-22,3511
2021-09-23,4461
2021-09-24,5947
2021-09-25,0
2021-09-26,5590
2021-09-27,0
2021-09-28,4882
2021-09-29,3799
2021-09-30,4340
2021-10-01,5213
2021-10-02,0
2021-10-03,6953
2021-10-04,2216
2021-10-05,7429
2021-10-06,12694
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,9732
2021-10-19,6256
2021-10-20,5771
2021-10-21,7173
2021-10-22,8242
2021-10-23,0
2021-10-24,8544
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,5680
2021-10-29,5967
2021-10-30,5621
2021-10-31,4700
2021-11-01,6410
2021-11-02,0
2021-11-03,4377
2021-11-04,6512
2021-11-05,3167
2021-11-06,6333
2021-11-07,6960
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,0
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,0
2021-11-18,4673
2021-11-19,5118
2021-11-20,11500
2021-11-21,8622
2021-11-22,0
2021-11-23,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,6165
2021-12-01,7403
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-09,0
2021-12-10,0
2021-12-11,2833
2021-12-12,6779
2021-12-13,7995
2021-12-14,0
2021-12-15,0
2021-12-16,0
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,5052
2021-12-25,7676
2021-12-26,6589
2021-12-27,0
2021-12-28,0
2021-12-29,5266
2021-12-30,6612
2021-12-31,4898
2022-01-01,0
2022-01-02,2498
2022-01-03,2436
2022-01-04,0
2022-01-05,9300
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,5987
2022-01-27,7182
2022-01-28,7258
2022-01-29,8303
2022-01-30,7354
2022-01-31,5831
2022-02-01,4534
2022-02-02,0
2022-02-03,4562
2022-02-04,4727
2022-02-05,6904
2022-02-06,6510
2022-02-07,4762
2022-02-08,5319
2022-02-09,3265
2022-02-10,0
2022-02-11,4398
2022-02-12,4588
2022-02-13,4652
2022-02-14,5123
2022-02-15,2901
2022-02-16,4444
2022-02-17,5862
2022-02-18,4430
2022-02-19,5749
2022-02-20,7621
2022-02-21,8052
2022-02-22,7065
2022-02-23,9523
2022-02-24,5658
2022-02-25,10809
2022-02-26,8669
2022-02-27,8238
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,4058
2022-03-08,12154
2022-03-09,14650
2022-03-10,5972
2022-03-11,5413
2022-03-12,0
2022-03-13,7832
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,5224
2022-03-19,6007
2022-03-20,6000
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,0
2022-03-29,0
2022-03-30,0
2022-03-31,0
