SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2024-04-03,5,5402.685,6474.198,0.0,94456.676,0.0,-4e-38
2024-04-03,6,2529.936,6080.634,0.0,95213.509,0.0,0.0
2024-04-03,7,11950.788,15602.963,0.0,78819.678,0.0,0.0
2024-04-03,8,11867.457,11915.46,0.0,79962.332,0.0,0.0
2024-04-03,9,6885.555,5723.502,0.0,90059.331,0.0,0.0
2024-04-03,10,-6836.21,9334.903,0.0,89833.869,1.147,2983.269
2024-04-03,11,-6284.116,13394.409,0.0,95320.2,193.591,10892.774
2024-04-03,12,-6563.606,13603.586,0.0,94537.025,196.759,13091.674
2024-04-03,13,27941.564,18413.866,662.1231443075138,70074.22093665895,0.0,41.05691903353941
2024-04-03,14,31393.176,14650.114,16751.431195818266,63697.03346999286,0.0,257.03233418887925
2024-04-03,15,42394.983,4224.934301601286,12237.641214426265,67998.9558545626,0.0,3374.295629409844
2024-04-03,16,38421.348,345.04504230075054,653.304650883197,86951.00514501987,0.0,105.93016179617922
2024-04-03,17,15853.125,156.67866704416858,1157.7523826503877,106560.42623606471,0.0,79.67471424072617
2024-04-03,18,6957.246,53.574471309307825,803.1663244381364,103741.90522192021,52.43,1.59098233234473
2024-04-03,19,7511.265,0.0,1409.953848932164,102266.58680172103,0.0,715.1463493468101
2024-04-03,20,-20412.265,1.638,0.0,103355.51667597449,687.7044730902426,8625.167850935264
2024-04-03,21,-6892.053,256.863,102.241,100147.81226102225,413.87591643726057,4739.927822540498
2024-04-03,22,-3840.525,393.145,198.141,94320.7239594638,0.0,1012.9130405361993
2024-04-03,23,8512.373,229.63401193663924,335.06129783091205,93578.067,0.0,-367.5533097675513
2024-04-03,24,10052.347,438.781,898.246,96966.946,0.0,-962.835
2024-04-03,25,14546.319,0.0,1184.189,90146.97,0.0,225.279
2024-04-03,26,12871.819,19.575,988.869,87608.678,0.0,1.556
2024-04-03,27,10421.972,236.58617900020386,1826.9928589199822,81507.66,7.162,0.1259620798139914
2024-04-03,28,-16885.754,6.746,0.0,80241.301,13.82,7981.072
2024-04-03,29,192.455,789.5865799376306,3184.846255890261,78103.026,14.328,27.475164172108254
2024-04-03,30,19099.493,454.80017950807076,202.71697752636345,87381.899,0.0,664.1748429655657
2024-04-03,31,12034.571,471.198295614106,399.3670114782574,93968.601,4.374,40.456692907636686
2024-04-03,32,7545.658,266.24593783633856,887.0688374511969,91542.873,134.664,97.09622471246453
2024-04-03,33,-15115.134,17.087,0.0,86143.194,8.68,5646.686
2024-04-03,34,-17706.632,0.0,0.0,75060.513,15.302,10432.683
2024-04-03,35,-22296.913,0.0,0.0,79915.182,9.524,14205.313
2024-04-03,36,-23661.425,274.473,0.0,86164.52819682873,15.179353567858264,12095.31744960341
2024-04-03,37,-37868.626,195.503,907.35,74426.36323030516,315.28424776243617,24329.183521932413
2024-04-03,38,-14287.762,395.763,605.565,75796.41322434995,0.0,17331.82077565006
2024-04-03,39,16188.466,497.66409608009127,6004.703713779767,73144.412,0.0,856.3821901401416
2024-04-03,40,45087.967,640.344,866.459,69435.871,0.0,-4048.354
2024-04-03,41,48273.661,1.6202040434374532,1872.6363444303704,50245.445,0.0,-530.2775484738079
2024-04-03,42,32543.27,307.6148876222863,2421.9484007404485,41684.073801015045,0.0,567.9019106222204
2024-04-03,43,5506.314,0.0,3392.706794858047,43387.074576372615,0.0,8.631628769338533
2024-04-03,44,-8142.788,60.294,0.0,46741.20784369652,0.0,698.1491563034798
2024-04-03,45,-14973.263,1713.2027831167482,401.4,45468.307876323306,748.8075790347978,5932.038761525151
2024-04-03,46,-8906.171,381.448,0.0,40161.915,65.585,8423.726
2024-04-03,47,-16277.885,641.096,0.0,79883.91574255067,265.98101408029294,1217.7272433690364
2024-04-03,48,-9486.951,4669.625,10809.445,90339.52456880834,18.9172364890534,8725.178194702605
2024-04-04,1,-7789.473,2084.349,7958.933,83076.82160698104,0.0,6493.37839301895
2024-04-04,2,-6449.674,0.0,0.0,77072.923,0.0,-1313.164
2024-04-04,3,-5642.087,2421.4170000000004,0.0,78691.95993836284,218.52617521800448,3164.3788864191647
2024-04-04,4,2806.709,4700.672769057262,47690.61230084294,33432.451518457514,0.0,4303.666411642283
2024-04-04,5,-2189.681,1716.316,0.0,72526.524,366.0902218793609,198.29277812063907
2024-04-04,6,-8669.013,0.0,0.0,75726.095,67.024,-4705.973
2024-04-04,7,-12520.466,0.0,0.0,78322.98581635488,17.915458284008555,-2945.8622746388833
2024-04-04,8,-16249.058,0.0,0.0,82670.11061257857,24.196872583975562,7181.976514837454
2024-04-04,9,-17238.824,0.0,0.0,81507.449,-1088.447,-1306.943
2024-04-04,10,-17610.552,0.0,75238.614,-2928.721,-1051.0,-2812.947
2024-04-04,11,-18583.752,0.0,0.0,62621.019,0.0,-7287.348
2024-04-04,12,-15891.741,594.48,61425.352,0.0,-2342.147,-8502.87
2024-04-04,13,-22840.195,434.034,17941.451,9233.6,0.0,-5513.674
2024-04-04,14,-22906.566,1904.662269690433,1426.478,21079.066,-505.4647191798329,125.21744948939987
2024-04-04,15,-7172.833,1950.1108960549511,3551.985,0.0,0.0,2438.143103945049
2024-04-04,16,-2159.627,3297.0919943229255,1729.688,0.0,0.0,474.57800567707466
2024-04-04,17,-7040.003,764.0776289289413,1552.005,0.0,0.0,1045.0933710710588
2024-04-04,18,-7867.984,620.3653624449664,1582.875,0.0,0.0,1125.0386375550336
2024-04-04,19,-19283.844,210.884,179.55,0.0,0.0,787.254
2024-04-04,20,-31571.004,0.0,0.0,0.0,0.0,1402.504
2024-04-04,21,-9351.622,579.86,2149.425,0.0,0.0,705.514
2024-04-04,22,4488.753,232.11165236304882,158.22129268040064,0.0,0.0,1285.0070549565505
2024-04-04,23,847.854,415.5782224025974,4014.9757848109,0.0,0.0,1360.9619927865022
2024-04-04,24,-4339.075,1187.575,1788.64,0.0,0.0,990.981
2024-04-04,25,-9797.056,2989.325414935646,25.448,0.0,226.78542202946392,3131.91116303489
2024-04-04,26,-5838.667,0.0,0.0,0.0,8.45210944142779,1771.9068905585723
2024-04-04,27,-10781.896,0.0,0.0,0.0,5.754320216480815,1641.0796797835192
2024-04-04,28,-5014.454,827.719,941.175,0.0,1.7870464486943878,1701.4239535513057
2024-04-04,29,-4735.255,1249.9114039377862,2081.149,0.0,0.0,1736.3895960622137
2024-04-04,30,-3379.821,688.5236370164612,143.418,0.0,0.0,401.8663629835389
2024-04-04,31,-442.032,1222.664,0.0,2427.307,0.0,101.916
2024-04-04,32,-2613.722,37.552,82.528,3685.439,0.906,65.871
2024-04-04,33,565.168,405.536,2899.996,1966.528,46.473,-1e-38
2024-04-04,34,1906.914,1254.442,8428.890065946842,553.007,108.832,12.912934053158104
2024-04-04,35,4981.624,1915.489,11080.599,0.0,0.0,-2e-38
2024-04-04,36,-1014.411,408.8726051805677,13138.0,0.0,0.0,1954.6463948194323
2024-04-04,37,-5497.56,1295.6149866926035,13090.4,0.0,0.0,1771.4060133073965
2024-04-04,38,2123.499,1586.669,11781.226845636282,0.0,0.0,1470.4731543637188
2024-04-04,39,21321.172,1078.0437976853004,3505.6985004632875,0.0,0.0,239.07570185141216
2024-04-04,40,5277.797,2865.3465119548882,4804.380103132905,0.0,0.0,64.50738491220662
2024-04-04,41,7266.632,1431.3877382339124,7187.175904180366,2242.315842883983,0.0,142.1975147017379
