"Settlement Date","Settlement Period","Outturn Inertia","Market Provided Inertia"
2025-04-02,42,150,126
2025-04-02,43,145,122
2025-04-02,44,154,128
2025-04-02,45,160,124
2025-04-02,46,149,115
2025-04-02,47,129,92
2025-04-02,48,122,86
2025-04-03,1,122,85
2025-04-03,2,122,84
2025-04-03,3,121,84
2025-04-03,4,122,85
2025-04-03,5,122,85
2025-04-03,6,121,84
2025-04-03,7,121,91
2025-04-03,8,121,84
2025-04-03,9,125,94
2025-04-03,10,130,99
2025-04-03,11,140,104
2025-04-03,12,144,109
2025-04-03,13,155,116
2025-04-03,14,157,121
2025-04-03,15,159,120
2025-04-03,16,155,127
2025-04-03,17,157,124
2025-04-03,18,157,124
2025-04-03,19,155,122
2025-04-03,20,149,123
2025-04-03,21,147,117
2025-04-03,22,130,112
2025-04-03,23,123,122
2025-04-03,24,123,105
2025-04-03,25,122,98
2025-04-03,26,121,97
2025-04-03,27,118,103
2025-04-03,28,117,116
2025-04-03,29,116,102
2025-04-03,30,115,115
2025-04-03,31,121,103
2025-04-03,32,132,118
2025-04-03,33,147,127
2025-04-03,34,166,163
2025-04-03,35,167,165
2025-04-03,36,170,168
2025-04-03,37,172,172
2025-04-03,38,176,173
2025-04-03,39,178,178
2025-04-03,40,178,179
2025-04-03,41,179,169
2025-04-03,42,178,177
2025-04-03,43,181,170
2025-04-03,44,174,154
2025-04-03,45,154,144
2025-04-03,46,143,124
2025-04-03,47,132,108
2025-04-03,48,123,102
2025-04-04,1,122,91
2025-04-04,2,121,108
2025-04-04,3,121,90
2025-04-04,4,122,109
2025-04-04,5,119,92
2025-04-04,6,117,90
2025-04-04,7,128,100
2025-04-04,8,134,121
2025-04-04,9,135,118
2025-04-04,10,151,144
2025-04-04,11,154,138
2025-04-04,12,159,136
2025-04-04,13,171,145
2025-04-04,14,174,156
2025-04-04,15,176,163
2025-04-04,16,169,151
2025-04-04,17,171,151
2025-04-04,18,172,150
2025-04-04,19,170,150
2025-04-04,20,164,136
2025-04-04,21,158,130
2025-04-04,22,153,125
2025-04-04,23,136,112
2025-04-04,24,136,117
2025-04-04,25,128,109
2025-04-04,26,119,102
2025-04-04,27,113,94
2025-04-04,28,113,94
2025-04-04,29,112,93
2025-04-04,30,111,92
2025-04-04,31,120,91
2025-04-04,32,125,96
2025-04-04,33,126,104
2025-04-04,34,136,114
2025-04-04,35,145,124
2025-04-04,36,153,133
2025-04-04,37,153,148
2025-04-04,38,154,151
2025-04-04,39,156,153
2025-04-04,40,156,138
2025-04-04,41,156,138
2025-04-04,42,155,136
2025-04-04,43,143,133
2025-04-04,44,136,127
2025-04-04,45,140,119
2025-04-04,46,136,119
2025-04-04,47,129,105
2025-04-04,48,125,99
2025-04-05,1,127,91
2025-04-05,2,127,101
2025-04-05,3,127,91
2025-04-05,4,127,98
2025-04-05,5,127,91
2025-04-05,6,126,90
2025-04-05,7,123,86
2025-04-05,8,123,86
2025-04-05,9,122,103
2025-04-05,10,122,93
2025-04-05,11,123,86
2025-04-05,12,123,100
2025-04-05,13,125,95
2025-04-05,14,125,89
2025-04-05,15,123,98
2025-04-05,16,126,100
2025-04-05,17,128,95
2025-04-05,18,118,92
2025-04-05,19,120,93
2025-04-05,20,118,90
2025-04-05,21,110,89
2025-04-05,22,111,90
2025-04-05,23,114,90
2025-04-05,24,114,93
2025-04-05,25,119,94
2025-04-05,26,118,95
2025-04-05,27,117,89
2025-04-05,28,116,88
2025-04-05,29,115,93
2025-04-05,30,114,87
2025-04-05,31,113,86
2025-04-05,32,115,87
2025-04-05,33,118,91
2025-04-05,34,131,99
2025-04-05,35,141,121
2025-04-05,36,145,123
2025-04-05,37,144,124
2025-04-05,38,142,124
2025-04-05,39,138,126
2025-04-05,40,138,123
2025-04-05,41,140,124
2025-04-05,42,148,133
2025-04-05,43,146,140
2025-04-05,44,149,135
2025-04-05,45,144,122
2025-04-05,46,134,114
2025-04-05,47,121,96
2025-04-05,48,120,92
2025-04-06,1,119,92
2025-04-06,2,118,91
2025-04-06,3,118,91
2025-04-06,4,118,91
2025-04-06,5,118,90
2025-04-06,6,117,90
2025-04-06,7,116,89
2025-04-06,8,119,90
2025-04-06,9,119,94
2025-04-06,10,117,87
2025-04-06,11,120,89
2025-04-06,12,120,90
2025-04-06,13,118,90
2025-04-06,14,119,95
2025-04-06,15,121,93
2025-04-06,16,123,96
2025-04-06,17,125,96
2025-04-06,18,115,88
2025-04-06,19,113,88
2025-04-06,20,113,88
2025-04-06,21,113,88
2025-04-06,22,114,89
2025-04-06,23,123,98
2025-04-06,24,124,98
2025-04-06,25,124,99
2025-04-06,26,124,105
2025-04-06,27,124,98
2025-04-06,28,123,97
2025-04-06,29,122,97
2025-04-06,30,121,102
2025-04-06,31,133,123
2025-04-06,32,138,134
2025-04-06,33,159,157
2025-04-06,34,161,158
2025-04-06,35,170,170
2025-04-06,36,174,174
2025-04-06,37,177,178
2025-04-06,38,178,182
2025-04-06,39,181,184
2025-04-06,40,184,185
2025-04-06,41,186,185
2025-04-06,42,184,183
2025-04-06,43,182,182
2025-04-06,44,180,180
2025-04-06,45,177,177
2025-04-06,46,175,175
2025-04-06,47,164,164
2025-04-06,48,160,160
2025-04-07,1,159,159
2025-04-07,2,158,158
2025-04-07,3,158,158
2025-04-07,4,158,158
2025-04-07,5,157,157
2025-04-07,6,160,160
2025-04-07,7,159,159
2025-04-07,8,169,169
2025-04-07,9,170,170
2025-04-07,10,185,185
2025-04-07,11,195,195
2025-04-07,12,196,196
2025-04-07,13,208,204
2025-04-07,14,209,209
2025-04-07,15,209,209
2025-04-07,16,211,211
2025-04-07,17,218,209
2025-04-07,18,216,209
2025-04-07,19,215,208
2025-04-07,20,211,204
2025-04-07,21,206,206
2025-04-07,22,193,186
2025-04-07,23,186,179
2025-04-07,24,181,174
2025-04-07,25,180,180
2025-04-07,26,180,173
2025-04-07,27,182,175
2025-04-07,28,187,180
2025-04-07,29,186,178
2025-04-07,30,192,185
2025-04-07,31,198,201
2025-04-07,32,207,210
2025-04-07,33,229,229
2025-04-07,34,241,241
2025-04-07,35,249,248
2025-04-07,36,250,249
2025-04-07,37,254,253
2025-04-07,38,253,256
2025-04-07,39,265,260
2025-04-07,40,262,254
2025-04-07,41,262,254
2025-04-07,42,261,252
2025-04-07,43,258,250
2025-04-07,44,254,246
2025-04-07,45,252,243
2025-04-07,46,214,204
2025-04-07,47,211,203
2025-04-07,48,210,202
2025-04-08,1,203,203
2025-04-08,2,194,194
2025-04-08,3,194,194
2025-04-08,4,194,194
2025-04-08,5,194,194
2025-04-08,6,194,194
2025-04-08,7,198,198
2025-04-08,8,201,201
2025-04-08,9,206,206
2025-04-08,10,216,216
2025-04-08,11,217,217
2025-04-08,12,215,219
2025-04-08,13,226,225
2025-04-08,14,235,234
2025-04-08,15,236,230
2025-04-08,16,237,231
2025-04-08,17,231,228
2025-04-08,18,232,229
2025-04-08,19,232,230
2025-04-08,20,220,217
2025-04-08,21,200,199
2025-04-08,22,199,192
2025-04-08,23,192,184
2025-04-08,24,184,184
2025-04-08,25,184,184
2025-04-08,26,186,186
2025-04-08,27,189,189
2025-04-08,28,184,184
2025-04-08,29,184,184
2025-04-08,30,184,183
2025-04-08,31,188,188
2025-04-08,32,203,200
2025-04-08,33,225,225
2025-04-08,34,250,247
2025-04-08,35,254,251
2025-04-08,36,257,254
2025-04-08,37,261,258
2025-04-08,38,264,261
2025-04-08,39,266,262
2025-04-08,40,266,263
2025-04-08,41,265,262
2025-04-08,42,263,263
2025-04-08,43,262,258
2025-04-08,44,257,257
2025-04-08,45,253,253
2025-04-08,46,225,210
2025-04-08,47,217,202
2025-04-08,48,200,185
2025-04-09,1,188,173
2025-04-09,2,180,172
2025-04-09,3,180,171
2025-04-09,4,180,172
2025-04-09,5,180,171
2025-04-09,6,179,171
2025-04-09,7,179,171
2025-04-09,8,179,171
2025-04-09,9,184,176
2025-04-09,10,195,186
2025-04-09,11,203,192
2025-04-09,12,199,193
2025-04-09,13,205,198
2025-04-09,14,208,201
2025-04-09,15,208,203
2025-04-09,16,210,204
2025-04-09,17,208,201
2025-04-09,18,208,201
2025-04-09,19,206,199
2025-04-09,20,202,195
2025-04-09,21,186,179
2025-04-09,22,178,171
2025-04-09,23,179,164
2025-04-09,24,164,156
2025-04-09,25,164,155
2025-04-09,26,163,155
2025-04-09,27,167,159
2025-04-09,28,165,157
2025-04-09,29,165,157
2025-04-09,30,164,156
2025-04-09,31,169,161
2025-04-09,32,177,169
2025-04-09,33,192,188
2025-04-09,34,203,203
2025-04-09,35,219,216
2025-04-09,36,220,217
2025-04-09,37,222,218
2025-04-09,38,224,221
2025-04-09,39,227,223
2025-04-09,40,227,223
2025-04-09,41,226,223
2025-04-09,42,225,222
2025-04-09,43,224,219
2025-04-09,44,220,217
2025-04-09,45,217,214
2025-04-09,46,189,189
2025-04-09,47,179,169
2025-04-09,48,172,161
2025-04-10,1,171,160
2025-04-10,2,162,159
2025-04-10,3,162,159
2025-04-10,4,162,159
2025-04-10,5,159,159
2025-04-10,6,166,159
2025-04-10,7,166,159
2025-04-10,8,163,158
2025-04-10,9,165,165
2025-04-10,10,176,176
2025-04-10,11,193,194
2025-04-10,12,198,199
2025-04-10,13,204,207
2025-04-10,14,206,210
2025-04-10,15,206,211
2025-04-10,16,208,212
2025-04-10,17,209,212
2025-04-10,18,208,215
2025-04-10,19,213,210
2025-04-10,20,212,211
2025-04-10,21,214,211
2025-04-10,22,207,196
2025-04-10,23,181,178
2025-04-10,24,177,170
2025-04-10,25,167,159
2025-04-10,26,163,155
2025-04-10,27,163,155
2025-04-10,28,162,154
2025-04-10,29,161,153
2025-04-10,30,160,152
2025-04-10,31,159,151
2025-04-10,32,158,150
2025-04-10,33,169,160
2025-04-10,34,177,160
2025-04-10,35,187,176
2025-04-10,36,199,188
2025-04-10,37,204,192
2025-04-10,38,204,194
2025-04-10,39,206,196
2025-04-10,40,206,197
2025-04-10,41,207,201
2025-04-10,42,206,200
2025-04-10,43,199,193
2025-04-10,44,192,187
2025-04-10,45,173,165
2025-04-10,46,161,155
2025-04-10,47,152,139
2025-04-10,48,145,124
2025-04-11,1,134,131
2025-04-11,2,133,123
2025-04-11,3,133,123
2025-04-11,4,133,127
2025-04-11,5,132,122
2025-04-11,6,132,122
2025-04-11,7,131,121
2025-04-11,8,131,121
2025-04-11,9,131,121
2025-04-11,10,131,128
2025-04-11,11,144,138
2025-04-11,12,163,149
2025-04-11,13,184,175
2025-04-11,14,187,164
2025-04-11,15,195,169
2025-04-11,16,196,170
2025-04-11,17,194,173
2025-04-11,18,195,169
2025-04-11,19,195,169
2025-04-11,20,187,170
2025-04-11,21,183,166
2025-04-11,22,174,142
2025-04-11,23,161,126
2025-04-11,24,155,124
2025-04-11,25,146,124
2025-04-11,26,145,123
2025-04-11,27,141,128
2025-04-11,28,140,122
2025-04-11,29,139,121
2025-04-11,30,144,126
2025-04-11,31,144,126
2025-04-11,32,150,132
2025-04-11,33,166,159
2025-04-11,34,201,201
2025-04-11,35,223,223
2025-04-11,36,226,226
2025-04-11,37,230,230
2025-04-11,38,233,233
2025-04-11,39,237,237
2025-04-11,40,237,237
2025-04-11,41,237,237
2025-04-11,42,236,236
2025-04-11,43,234,233
2025-04-11,44,231,231
2025-04-11,45,225,225
2025-04-11,46,203,203
2025-04-11,47,192,192
2025-04-11,48,176,176
2025-04-12,1,164,156
2025-04-12,2,160,151
2025-04-12,3,149,141
2025-04-12,4,142,134
2025-04-12,5,139,129
2025-04-12,6,138,124
2025-04-12,7,137,123
2025-04-12,8,137,123
2025-04-12,9,137,123
2025-04-12,10,137,122
2025-04-12,11,137,123
2025-04-12,12,138,124
2025-04-12,13,139,125
2025-04-12,14,140,126
2025-04-12,15,143,129
2025-04-12,16,143,129
2025-04-12,17,135,131
2025-04-12,18,138,130
2025-04-12,19,139,131
2025-04-12,20,133,124
2025-04-12,21,123,119
2025-04-12,22,120,109
2025-04-12,23,117,94
2025-04-12,24,117,91
2025-04-12,25,117,91
2025-04-12,26,117,91
2025-04-12,27,116,99
2025-04-12,28,116,102
2025-04-12,29,115,98
2025-04-12,30,114,97
2025-04-12,31,114,100
2025-04-12,32,116,109
2025-04-12,33,120,109
2025-04-12,34,139,134
2025-04-12,35,146,147
2025-04-12,36,150,151
2025-04-12,37,154,151
2025-04-12,38,155,152
2025-04-12,39,152,151
2025-04-12,40,152,151
2025-04-12,41,161,157
2025-04-12,42,160,157
2025-04-12,43,159,156
2025-04-12,44,158,147
2025-04-12,45,150,140
2025-04-12,46,141,131
2025-04-12,47,133,127
2025-04-12,48,127,105
2025-04-13,1,123,109
2025-04-13,2,123,97
2025-04-13,3,119,101
2025-04-13,4,116,87
2025-04-13,5,116,87
2025-04-13,6,115,87
2025-04-13,7,116,87
2025-04-13,8,115,87
2025-04-13,9,115,98
2025-04-13,10,116,90
2025-04-13,11,115,89
2025-04-13,12,115,89
2025-04-13,13,115,90
2025-04-13,14,116,98
2025-04-13,15,121,95
2025-04-13,16,128,110
2025-04-13,17,124,101
2025-04-13,18,116,93
2025-04-13,19,115,97
2025-04-13,20,116,100
2025-04-13,21,116,99
2025-04-13,22,119,101
2025-04-13,23,121,102
2025-04-13,24,121,102
2025-04-13,25,121,102
2025-04-13,26,122,103
2025-04-13,27,122,102
2025-04-13,28,120,100
2025-04-13,29,119,99
2025-04-13,30,119,107
2025-04-13,31,118,109
2025-04-13,32,129,120
2025-04-13,33,149,140
2025-04-13,34,162,150
2025-04-13,35,173,169
2025-04-13,36,175,163
2025-04-13,37,174,170
2025-04-13,38,175,171
2025-04-13,39,177,172
2025-04-13,40,177,173
2025-04-13,41,178,181
2025-04-13,42,176,181
2025-04-13,43,182,178
2025-04-13,44,177,171
2025-04-13,45,171,165
2025-04-13,46,147,133
2025-04-13,47,133,123
2025-04-13,48,123,111
2025-04-14,1,122,109
2025-04-14,2,121,108
2025-04-14,3,121,109
2025-04-14,4,121,109
2025-04-14,5,121,109
2025-04-14,6,123,110
2025-04-14,7,123,110
2025-04-14,8,127,114
2025-04-14,9,128,108
2025-04-14,10,133,121
2025-04-14,11,142,129
2025-04-14,12,149,131
2025-04-14,13,155,148
2025-04-14,14,160,157
2025-04-14,15,166,153
2025-04-14,16,163,159
2025-04-14,17,167,156
2025-04-14,18,165,154
2025-04-14,19,159,148
2025-04-14,20,157,144
2025-04-14,21,148,137
2025-04-14,22,137,125
2025-04-14,23,128,119
2025-04-14,24,128,119
2025-04-14,25,128,124
2025-04-14,26,129,119
2025-04-14,27,135,126
2025-04-14,28,124,126
2025-04-14,29,131,129
2025-04-14,30,134,126
2025-04-14,31,149,140
2025-04-14,32,181,181
2025-04-14,33,205,196
2025-04-14,34,211,197
2025-04-14,35,216,205
2025-04-14,36,221,207
2025-04-14,37,222,209
2025-04-14,38,221,223
2025-04-14,39,223,211
2025-04-14,40,223,211
2025-04-14,41,219,207
2025-04-14,42,218,205
2025-04-14,43,211,201
2025-04-14,44,195,179
2025-04-14,45,171,162
2025-04-14,46,152,143
2025-04-14,47,130,121
2025-04-14,48,125,109
2025-04-15,1,123,107
2025-04-15,2,122,107
2025-04-15,3,122,107
2025-04-15,4,122,106
2025-04-15,5,122,107
2025-04-15,6,121,106
2025-04-15,7,125,110
2025-04-15,8,125,115
2025-04-15,9,134,124
2025-04-15,10,134,124
2025-04-15,11,133,128
2025-04-15,12,163,155
2025-04-15,13,194,199
2025-04-15,14,197,197
2025-04-15,15,202,202
2025-04-15,16,204,204
2025-04-15,17,208,208
2025-04-15,18,211,209
2025-04-15,19,212,212
2025-04-15,20,212,209
2025-04-15,21,209,205
2025-04-15,22,208,205
2025-04-15,23,209,205
2025-04-15,24,209,206
2025-04-15,25,213,207
2025-04-15,26,209,204
2025-04-15,27,210,208
2025-04-15,28,208,207
2025-04-15,29,206,200
2025-04-15,30,206,200
2025-04-15,31,220,215
2025-04-15,32,219,216
2025-04-15,33,224,218
2025-04-15,34,223,218
2025-04-15,35,225,220
2025-04-15,36,228,222
2025-04-15,37,230,224
2025-04-15,38,230,225
2025-04-15,39,230,225
2025-04-15,40,229,221
2025-04-15,41,224,212
2025-04-15,42,211,209
2025-04-15,43,201,198
2025-04-15,44,193,178
2025-04-15,45,180,173
2025-04-15,46,156,149
2025-04-15,47,144,137
2025-04-15,48,128,118
2025-04-16,1,124,106
2025-04-16,2,121,103
2025-04-16,3,115,97
2025-04-16,4,109,89
2025-04-16,5,110,102
2025-04-16,6,109,89
2025-04-16,7,114,91
2025-04-16,8,110,91
2025-04-16,9,111,96
2025-04-16,10,111,96
2025-04-16,11,113,98
2025-04-16,12,114,95
2025-04-16,13,124,97
2025-04-16,14,128,101
2025-04-16,15,137,104
2025-04-16,16,138,105
2025-04-16,17,141,108
2025-04-16,18,142,109
2025-04-16,19,142,110
2025-04-16,20,143,125
2025-04-16,21,140,111
2025-04-16,22,140,112
2025-04-16,23,130,117
2025-04-16,24,125,102
2025-04-16,25,125,100
2025-04-16,26,125,100
2025-04-16,27,129,101
2025-04-16,28,131,99
2025-04-16,29,131,105
2025-04-16,30,137,105
2025-04-16,31,140,102
2025-04-16,32,168,121
2025-04-16,33,192,147
2025-04-16,34,198,162
2025-04-16,35,200,165
2025-04-16,36,200,157
2025-04-16,37,202,159
2025-04-16,38,204,188
2025-04-16,39,206,187
2025-04-16,40,206,174
2025-04-16,41,202,173
2025-04-16,42,201,177
2025-04-16,43,197,164
2025-04-16,44,190,169
2025-04-16,45,172,172
2025-04-16,46,145,137
2025-04-16,47,138,126
2025-04-16,48,132,120
2025-04-17,1,131,121
2025-04-17,2,123,112
2025-04-17,3,122,111
2025-04-17,4,115,111
2025-04-17,5,115,111
2025-04-17,6,114,110
2025-04-17,7,114,110
2025-04-17,8,117,117
2025-04-17,9,128,123
2025-04-17,10,146,132
2025-04-17,11,149,143
2025-04-17,12,162,162
2025-04-17,13,165,165
2025-04-17,14,167,167
2025-04-17,15,171,170
2025-04-17,16,172,175
2025-04-17,17,173,176
2025-04-17,18,187,183
2025-04-17,19,186,176
2025-04-17,20,187,172
2025-04-17,21,179,167
2025-04-17,22,178,181
2025-04-17,23,176,165
2025-04-17,24,176,162
2025-04-17,25,176,175
2025-04-17,26,175,164
2025-04-17,27,175,163
2025-04-17,28,177,170
2025-04-17,29,176,168
2025-04-17,30,182,168
2025-04-17,31,193,179
2025-04-17,32,194,197
2025-04-17,33,220,219
2025-04-17,34,224,221
2025-04-17,35,228,224
2025-04-17,36,229,226
2025-04-17,37,232,229
2025-04-17,38,233,230
2025-04-17,39,234,231
2025-04-17,40,234,231
2025-04-17,41,234,231
2025-04-17,42,233,230
2025-04-17,43,231,228
2025-04-17,44,229,225
2025-04-17,45,224,222
2025-04-17,46,204,191
2025-04-17,47,183,180
2025-04-17,48,179,169
2025-04-18,1,169,157
2025-04-18,2,157,144
2025-04-18,3,149,144
2025-04-18,4,142,136
2025-04-18,5,137,132
2025-04-18,6,132,127
2025-04-18,7,125,119
2025-04-18,8,124,119
2025-04-18,9,124,118
2025-04-18,10,123,118
2025-04-18,11,123,118
2025-04-18,12,124,119
2025-04-18,13,128,122
2025-04-18,14,128,123
2025-04-18,15,130,124
2025-04-18,16,131,125
2025-04-18,17,133,127
2025-04-18,18,134,128
2025-04-18,19,137,131
2025-04-18,20,137,131
2025-04-18,21,134,131
2025-04-18,22,130,124
2025-04-18,23,124,118
2025-04-18,24,119,113
2025-04-18,25,119,112
2025-04-18,26,118,104
2025-04-18,27,117,102
2025-04-18,28,116,110
2025-04-18,29,117,102
2025-04-18,30,118,111
2025-04-18,31,120,105
2025-04-18,32,120,105
2025-04-18,33,130,118
2025-04-18,34,131,127
2025-04-18,35,135,129
2025-04-18,36,136,122
2025-04-18,37,135,122
2025-04-18,38,135,122
2025-04-18,39,136,129
2025-04-18,40,135,129
2025-04-18,41,135,130
2025-04-18,42,135,129
2025-04-18,43,134,128
2025-04-18,44,132,126
2025-04-18,45,129,114
2025-04-18,46,124,99
2025-04-18,47,123,92
2025-04-18,48,121,96
2025-04-19,1,120,94
2025-04-19,2,116,85
2025-04-19,3,116,79
2025-04-19,4,116,79
2025-04-19,5,115,84
2025-04-19,6,114,77
2025-04-19,7,114,79
2025-04-19,8,114,78
2025-04-19,9,113,80
2025-04-19,10,113,77
2025-04-19,11,113,79
2025-04-19,12,113,80
2025-04-19,13,114,78
2025-04-19,14,115,80
2025-04-19,15,112,82
2025-04-19,16,113,83
2025-04-19,17,116,93
2025-04-19,18,117,88
2025-04-19,19,113,94
2025-04-19,20,115,89
2025-04-19,21,115,87
2025-04-19,22,114,87
2025-04-19,23,120,90
2025-04-19,24,116,89
2025-04-19,25,115,88
2025-04-19,26,116,88
2025-04-19,27,114,86
2025-04-19,28,114,86
2025-04-19,29,114,86
2025-04-19,30,112,91
2025-04-19,31,111,91
2025-04-19,32,112,90
2025-04-19,33,127,120
2025-04-19,34,149,135
2025-04-19,35,155,140
2025-04-19,36,160,152
2025-04-19,37,161,146
2025-04-19,38,162,147
2025-04-19,39,163,148
2025-04-19,40,163,157
2025-04-19,41,163,158
2025-04-19,42,152,150
2025-04-19,43,153,157
2025-04-19,44,152,152
2025-04-19,45,158,150
2025-04-19,46,155,146
2025-04-19,47,155,139
2025-04-19,48,138,115
2025-04-20,1,132,107
2025-04-20,2,132,107
2025-04-20,3,128,102
2025-04-20,4,128,102
2025-04-20,5,124,102
2025-04-20,6,123,101
2025-04-20,7,122,100
2025-04-20,8,123,100
2025-04-20,9,125,102
2025-04-20,10,127,102
2025-04-20,11,124,105
2025-04-20,12,124,105
2025-04-20,13,124,105
2025-04-20,14,126,106
2025-04-20,15,127,107
2025-04-20,16,128,108
2025-04-20,17,130,114
2025-04-20,18,131,112
2025-04-20,19,136,114
2025-04-20,20,134,119
2025-04-20,21,133,124
2025-04-20,22,134,125
2025-04-20,23,136,127
2025-04-20,24,134,128
2025-04-20,25,133,128
2025-04-20,26,133,128
2025-04-20,27,140,135
2025-04-20,28,139,136
2025-04-20,29,138,134
2025-04-20,30,141,137
2025-04-20,31,147,144
2025-04-20,32,157,155
2025-04-20,33,168,170
2025-04-20,34,183,185
2025-04-20,35,188,192
2025-04-20,36,188,191
2025-04-20,37,188,188
2025-04-20,38,189,189
2025-04-20,39,188,188
2025-04-20,40,188,189
2025-04-20,41,188,189
2025-04-20,42,190,189
2025-04-20,43,185,187
2025-04-20,44,184,187
2025-04-20,45,176,172
2025-04-20,46,173,168
2025-04-20,47,163,156
2025-04-20,48,155,142
2025-04-21,1,148,135
2025-04-21,2,145,132
2025-04-21,3,146,132
2025-04-21,4,145,132
2025-04-21,5,144,132
2025-04-21,6,144,131
2025-04-21,7,143,132
2025-04-21,8,143,131
2025-04-21,9,143,131
2025-04-21,10,143,132
2025-04-21,11,143,132
2025-04-21,12,143,131
2025-04-21,13,144,132
2025-04-21,14,147,136
2025-04-21,15,151,142
2025-04-21,16,159,146
2025-04-21,17,161,148
2025-04-21,18,159,149
2025-04-21,19,175,158
2025-04-21,20,176,166
2025-04-21,21,177,174
2025-04-21,22,177,175
2025-04-21,23,177,160
2025-04-21,24,174,161
2025-04-21,25,175,161
2025-04-21,26,175,161
2025-04-21,27,175,161
2025-04-21,28,174,160
2025-04-21,29,174,174
2025-04-21,30,184,165
2025-04-21,31,192,165
2025-04-21,32,204,172
2025-04-21,33,222,192
2025-04-21,34,223,209
2025-04-21,35,226,213
2025-04-21,36,230,214
2025-04-21,37,232,217
2025-04-21,38,232,221
2025-04-21,39,236,229
2025-04-21,40,236,221
2025-04-21,41,233,218
2025-04-21,42,232,222
2025-04-21,43,226,216
2025-04-21,44,223,212
2025-04-21,45,207,198
2025-04-21,46,198,186
2025-04-21,47,187,180
2025-04-21,48,172,162
2025-04-22,1,168,160
2025-04-22,2,166,160
2025-04-22,3,163,159
2025-04-22,4,161,159
2025-04-22,5,161,159
2025-04-22,6,168,165
2025-04-22,7,173,171
2025-04-22,8,173,170
2025-04-22,9,174,172
2025-04-22,10,174,172
2025-04-22,11,185,183
2025-04-22,12,187,184
2025-04-22,13,196,189
2025-04-22,14,200,195
2025-04-22,15,200,194
2025-04-22,16,202,195
2025-04-22,17,202,193
2025-04-22,18,203,194
2025-04-22,19,200,191
2025-04-22,20,196,191
2025-04-22,21,190,188
2025-04-22,22,186,182
2025-04-22,23,187,183
2025-04-22,24,182,178
2025-04-22,25,178,178
2025-04-22,26,178,177
2025-04-22,27,178,177
2025-04-22,28,178,177
2025-04-22,29,177,176
2025-04-22,30,176,175
2025-04-22,31,179,178
2025-04-22,32,183,181
2025-04-22,33,218,201
2025-04-22,34,224,222
2025-04-22,35,230,213
2025-04-22,36,231,214
2025-04-22,37,235,219
2025-04-22,38,237,228
2025-04-22,39,238,228
2025-04-22,40,236,227
2025-04-22,41,236,226
2025-04-22,42,235,218
2025-04-22,43,234,221
2025-04-22,44,232,228
2025-04-22,45,199,201
2025-04-22,46,188,191
2025-04-22,47,175,178
2025-04-22,48,171,169
2025-04-23,1,165,168
2025-04-23,2,164,167
2025-04-23,3,163,166
2025-04-23,4,163,163
2025-04-23,5,163,163
2025-04-23,6,163,163
2025-04-23,7,162,162
2025-04-23,8,162,162
2025-04-23,9,168,168
2025-04-23,10,180,180
2025-04-23,11,190,190
2025-04-23,12,195,195
2025-04-23,13,205,202
2025-04-23,14,208,205
2025-04-23,15,210,206
