EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
9411,Non-BM Fast Reserve,2021-07-02T20:12:00,60,113.8,2021-07-02T20:34:00,2021-07-02T20:09:19,2021-07-02T20:31:35
9410,Non-BM Fast Reserve,2021-07-02T20:12:00,60,113.8,2021-07-02T20:33:40,2021-07-02T20:09:19,2021-07-02T20:31:35
9412,Non-BM Fast Reserve,2021-07-02T20:12:00,40,110,2021-07-02T20:27:40,2021-07-02T20:09:49,2021-07-02T20:27:05
9413,Non-BM Fast Reserve,2021-07-02T21:55:00,60,113.8,2021-07-02T23:17:00,2021-07-02T21:53:09,2021-07-02T23:14:50
9414,Non-BM Fast Reserve,2021-07-02T21:55:00,80,113.8,2021-07-02T22:37:00,2021-07-02T21:53:09,2021-07-02T22:35:11
9415,Non-BM Fast Reserve,2021-07-02T21:55:00,60,113.8,2021-07-02T23:16:40,2021-07-02T21:53:09,2021-07-02T23:14:50
9416,Non-BM Fast Reserve,2021-07-02T22:06:00,80,113.9,2021-07-02T22:37:00,2021-07-02T22:04:10,2021-07-02T22:35:11
9418,Non-BM Fast Reserve,2021-07-02T23:58:00,60,113.8,,2021-07-02T23:55:57,
9419,Non-BM Fast Reserve,2021-07-02T23:58:00,60,113.8,,2021-07-02T23:55:57,
9417,Non-BM Fast Reserve,2021-07-02T23:58:00,80,113.8,2021-07-03T00:15:00,2021-07-02T23:55:57,2021-07-03T00:12:28
9420,Non-BM Fast Reserve,2021-07-02T23:58:00,80,113.9,2021-07-03T00:15:00,2021-07-02T23:55:57,2021-07-03T00:12:28
9421,Non-BM Fast Reserve,2021-07-03T00:36:00,60,113.8,2021-07-03T01:26:40,2021-07-03T00:33:33,2021-07-03T01:24:45
9422,Non-BM Fast Reserve,2021-07-03T00:36:00,60,113.8,2021-07-03T01:27:00,2021-07-03T00:33:33,2021-07-03T01:24:45
9423,Non-BM Fast Reserve,2021-07-03T00:36:00,80,113.8,2021-07-03T00:52:00,2021-07-03T00:33:33,2021-07-03T00:49:13
9425,Non-BM Fast Reserve,2021-07-03T01:32:00,80,113.9,2021-07-03T01:47:00,2021-07-03T01:29:47,2021-07-03T01:44:49
9424,Non-BM Fast Reserve,2021-07-03T01:32:00,80,113.8,2021-07-03T03:08:00,2021-07-03T01:29:47,2021-07-03T03:05:35
