Date,Settlement Period,EBCA (£),EBVA (MWh),ESCA (£),ESVA (MWh),SBVA (MWh),SSVA (MWh),BPA (£/MWh),SPA (£/MWh)
08/04/2013,31,0,0,0,0,0,0,0,0
08/04/2013,32,0,0,0,0,0,0,0,0
08/04/2013,33,0,0,0,0,0,0,0,0
08/04/2013,34,0,0,0,0,0,0,0,0
08/04/2013,35,0,0,0,0,0,0,0,0
08/04/2013,36,0,0,0,0,0,0,0,0
08/04/2013,37,0,0,0,0,0,0,0,0
08/04/2013,38,0,0,0,0,0,0,0,0
08/04/2013,39,0,0,0,0,0,0,2.72,0
08/04/2013,40,0,0,0,0,0,0,7.54,0
08/04/2013,41,0,0,0,0,0,0,9.41,0
08/04/2013,42,0,0,0,0,0,0,8.31,0
08/04/2013,43,0,0,0,0,0,0,6.59,0
08/04/2013,44,0,0,0,0,0,0,1.45,0
08/04/2013,45,0,0,0,0,0,0,0,0
08/04/2013,46,0,0,0,0,0,0,0,0
08/04/2013,47,0,0,0,0,0,0,0,0
08/04/2013,48,0,0,0,0,0,0,0,0
09/04/2013,1,0,0,0,0,0,0,0,0
09/04/2013,2,0,0,0,0,0,0,0,0
09/04/2013,3,0,0,0,0,0,0,0,0
09/04/2013,4,0,0,0,0,0,0,0,0
09/04/2013,5,0,0,0,0,0,0,0,0
09/04/2013,6,0,0,0,0,0,0,0,0
09/04/2013,7,0,0,0,0,0,0,0,0
09/04/2013,8,0,0,0,0,0,0,0,0
09/04/2013,9,0,0,0,0,0,0,0,0
09/04/2013,10,0,0,0,0,0,0,0,0
09/04/2013,11,0,0,0,0,0,0,0,0
09/04/2013,12,0,0,0,0,0,0,0,0
09/04/2013,13,0,0,0,0,0,0,0,0
09/04/2013,14,0,0,0,0,0,0,0,0
09/04/2013,15,0,0,0,0,0,0,3.09,0
09/04/2013,16,0,0,0,0,0,0,6.63,0
09/04/2013,17,0,0,0,0,0,0,6.8,0
09/04/2013,18,0,0,0,0,0,0,9.61,0
09/04/2013,19,0,0,0,0,0,0,10.69,0
09/04/2013,20,0,0,0,0,0,0,7.93,0
09/04/2013,21,0,0,0,0,0,0,6.4,0
09/04/2013,22,0,0,0,0,0,0,5.55,0
