Year,DNO,Import Unique Identifier,LLFC,Import MPANs/MSIDs,Export Unique Identifier,LLFC,Export MPANs/MSIDs,Name,Residual Charging Band,Import Super Red unit charge (p/kWh),Import fixed charge (p/day),Import capacity charge (p/kVA/day),Import exceeded capacity charge (p/kVA/day),Export Super Red unit charge (p/kWh),Export fixed charge (p/day),Export capacity charge (p/kVA/day),Export exceeded capacity charge (p/kVA/day),Strike
2024/25,East of England Electricity Network,REYDON,776,1050000612816,REYDON,776,1050000612807,REYDON,1.0,4.526,3530.53,4.5,4.5,,939.7,0.05,0.05,
2024/25,East of England Electricity Network,RKYERF,408,1050001971040,RKYERF,408,1050001971050,RKYERF,,,1468.79,1.9,1.9,-0.286,12190.92,0.05,0.05,
2024/25,East of England Electricity Network,RMWFII,675,1050000811220,RMWFII,675,1050000811230,RMWFII,,0.376,15.96,1.89,1.89,,1276.86,0.05,0.05,
2024/25,East of England Electricity Network,ROYSTN,677,1050000996105,ROYSTN,677,1050000996114,ROYSTN,,,7.99,2.56,2.56,,1198.02,0.05,0.05,
2024/25,East of England Electricity Network,SCROBY,716,1023545564889,SCROBY,716,1023545564903,SCROBY,,,34.18,1.76,1.76,,,,,
2024/25,East of England Electricity Network,SCTTOW,459,1050000841935,SCTTOW,459,1050000841971,SCTTOW,,,73.1,3.24,3.24,,2521.91,0.05,0.05,
2024/25,East of England Electricity Network,STRTHL,775,1050000563372,STRTHL,775,1050000563381,STRTHL,,,4.13,9.67,9.67,,902.37,0.05,0.05,
2024/25,East of England Electricity Network,TILGRN,,1050001109352,TILGRN,,MSID: 7323,TILGRN,1.0,,6804.02,1.43,1.43,-0.023,27612.23,0.05,0.05,
2024/25,East of England Electricity Network,TOOLEY,680,1050000903217,TOOLEY,680,1050000903226,TOOLEY,,,28.75,10.98,10.98,,1437.69,0.05,0.05,
2024/25,East of England Electricity Network,TRNCLE,698,1050001078642,TRNCLE,698,1050001078651,TRNCLE,,1.567,165.29,2.54,2.54,,15360.07,0.05,0.05,
2024/25,East of England Electricity Network,TROWSF,449,1050001541858;1050002380289,TROWSF,449,1050001541867;1050002380298,TROWSF,1.0,0.511,3537.83,2.06,2.06,,987.96,0.05,0.05,
2024/25,East of England Electricity Network,WAIRWF,779,1050000529637,WAIRWF,779,1050000529664,WAIRWF,1.0,,3551.7,4.06,4.06,,1487.49,0.05,0.05,
2024/25,East of England Electricity Network,WDLWWF,742,1030078016464,WDLWWF,742,1030078016924,WDLWWF,,,6.71,3.21,3.21,,1113.7,0.05,0.05,
2024/25,East of England Electricity Network,WLBRHM,462,1050000714155,WLBRHM,462,1050000714164,WLBRHM,1.0,0.625,3540.53,8.58,8.58,,9524.12,0.05,0.05,True
2024/25,East of England Electricity Network,WTRLOO,465,1050000769163,WTRLOO,465,1050000769172,WTRLOO,,,11.51,4.32,4.32,,1151.09,0.05,0.05,
