Company,Unit,Default/Market,Location,Oct 13 - LEAD,Oct 13  - LAG,Oct 13  - TOTAL,Nov 13 - LEAD,Nov 13 - LAG,Nov 13 - TOTAL,Dec 13 - LEAD,Dec 13 -LAG,Dec 13 - TOTAL,Jan 14 - LEAD,Jan 14 - LAG,Jan 14 - TOTAL,Feb 14 - LEAD,Feb 14- LAG,Feb 14 - TOTAL,Mar 14 - LEAD,Mar 14  - LAG,Mar 14 - TOTAL,Apr 14 - LEAD,Apr 14  - LAG,Apr 14   - TOTAL,May 14 - LEAD,May 14 - LAG,May 14 - TOTAL,Jun 14 - LEAD,Jun 14 -LAG,Jun 14 - TOTAL,Jul 14 - LEAD,Jul 14  - LAG,Jul 14  - TOTAL,Aug 14 - LEAD,Aug 14 - LAG,Aug 14  - TOTAL,Sep 14- LEAD,Sep 14  - LAG,Sep 14- TOTAL, Oct 14- LEAD,Oct 14- LAG,Oct 14   - TOTAL,Nov 14 - LEAD,Nov 14- LAG,Nov 14- TOTAL,Dec 14 - LEAD,Dec 14  -LAG,Dec 14  - TOTAL,Jan 15 - LEAD,Jan 15  - LAG,Jan 15 - TOTAL,Feb 15 - LEAD,Feb 15  - LAG,Feb 15 - TOTAL,Mar 15- LEAD,Mar 15  - LAG,Mar 15- TOTAL, Apr 15- LEAD, Apr 15- LAG, Apr 15  - TOTAL,May 15 - LEAD,May 15- LAG,May 15- TOTAL,Jun 15 - LEAD,Jun 15  -LAG,Jun 15  - TOTAL,Jul 15 - LEAD,Jul 15  - LAG,Jul 15  - TOTAL,Aug 15 - LEAD,Aug 15  - LAG,Aug 15  - TOTAL,Sep 15- LEAD,Sep 15 - LAG,Sep 15- TOTAL,Oct 15- LEAD, Oct 15- LAG,Oct 15  - TOTAL,Nov 15 - LEAD,Nov 15- LAG,Nov 15- TOTAL,Dec 15 - LEAD,Dec 15  -LAG,Dec 15  - TOTAL,Jan 16 - LEAD,Jan 16  - LAG,Jan 16   - TOTAL,Feb 16 - LEAD,Feb 16- LAG,Feb 16 - TOTAL,Mar 16 - LEAD,Mar 16  - LAG,Mar 16 - TOTAL, Apr 16 - LEAD, Apr 16  - LAG, Apr 16- TOTAL,May 16 - LEAD,May 16 - LAG,May 16 - TOTAL,Jun 16 - LEAD,Jun 16 -LAG,Jun 16- TOTAL,Jul 16 - LEAD,Jul 16 - LAG,Jul 16 - TOTAL,Aug 16 - LEAD,Aug 16- LAG,Aug 16 - TOTAL,Sep 16 - LEAD,Sep 16  - LAG,Sep 16  - TOTAL, Oct 16 - LEAD, Oct 16  - LAG, Oct 16 - TOTAL,Nov 16 - LEAD,Nov 16 - LAG,Nov 16 - TOTAL,Dec 16 - LEAD,Dec 16 -LAG,Dec 16 - TOTAL,Jan 17 - LEAD,Jan 17 - LAG,Jan 17 - TOTAL,Feb 17 - LEAD,Feb 17 - LAG,Feb 17 - TOTAL,Mar 17- LEAD,Mar 17  - LAG,Mar 17 - TOTAL, Apr 17 - LEAD, Apr 17  - LAG, Apr 17 - TOTAL,May 17 - LEAD,May 17 - LAG,May 17 - TOTAL,Jun 17 - LEAD,Jun 17  -LAG,Jun 17  - TOTAL,Jul 17 - LEAD,Jul 17 - LAG,Jul 17- TOTAL,Aug 17 - LEAD,Aug 17 - LAG,Aug 17 - TOTAL,Sep 17- LEAD,Sep 17  - LAG,Sep 17 - TOTAL, Oct 17 - LEAD, Oct 17  - LAG,  Oct 17 - TOTAL,Nov 17 - LEAD,Nov 17 - LAG,Nov 17 - TOTAL,Dec 17 - LEAD,Dec 17  -LAG,Dec 17  - TOTAL,Jan 18 - LEAD,Jan 18  - LAG,Jan 18 - TOTAL,Feb 18 - LEAD,Feb 18 - LAG,Feb 18 - TOTAL,Mar 18 - LEAD,Mar 18  - LAG,Mar 18 - TOTAL, Apr 18 - LEAD,Apr 18  - LAG,  Apr 18 - TOTAL,May 18 - LEAD,May 18 - LAG,May 18 - TOTAL,Jun 18 - LEAD,Jun 18 -LAG,Jun 18  - TOTAL,Jul 18 - LEAD,Jul 18  - LAG,Jul 18 - TOTAL,Aug 18 - LEAD,Aug 18 - LAG,Aug 18 - TOTAL,Sep 18 - LEAD,Sep 18  - LAG,Sep 18 - TOTAL, Oct 18 - LEAD, Oct 18  - LAG, Oct 18 - TOTAL,Nov 18 - LEAD,Nov 18 - LAG,Nov 18 - TOTAL,Dec 18 - LEAD,Dec 18 -LAG,Dec 18  - TOTAL,Jan 19 - LEAD,Jan 19  - LAG,Jan 19 - TOTAL,Feb 19 - LEAD,Feb 19 - LAG,Feb 19- TOTAL,Mar 19 - LEAD,Mar 19  - LAG,Mar 19 - TOTAL,Apr 19 - LEAD,Apr 19 -LAG,Apr 19- TOTAL,May 19 - LEAD,May 19 -LAG,May 19- TOTAL,Jun 19 - LEAD,Jun 19 -LAG,Jun 19- TOTAL,Jul 19 - LEAD,Jul 19 -LAG,Jul 19- TOTAL,Aug 19 - LEAD, Aug 19 -LAG,Aug 19- TOTAL,Sep 19 - LEAD,Sep 19 -LAG,Sep 19- TOTAL,Oct 19 -LEAD,Oct 19 - LAG,Oct -19 TOTAL,Nov 19 -LEAD,Nov 19 - LAG,Nov -19 TOTAL,Dec 19 -LEAD,Dec 19 - LAG,Dec 19 - TOTAL,Jan 20 -LEAD,Jan 20 - LAG,Jan 20 - TOTAL,Feb 20 -LEAD,Feb 20 - LAG,Feb 20 - TOTAL,Mar 20 -LEAD,Mar 20 - LAG,Mar 20 - TOTAL
NUCE,SIZEA01Z,D,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCE,SIZEA02Z,D,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCE,WYLF_01Z,D,N,"27,459",95,"27,554","37,530",88,"37,618","35,160",0,"35,160","6,863",0,"6,863",0,0,0,0,0,0,0,0,0,0,0,0,"2,965",0,"2,965","14,471",492,"14,963","37,282",195,"37,477","40,553",213,"40,766","18,010","2,054","20,064","16,384",547,"16,932","12,723",982,"13,705","8,461","1,010","9,471","6,552","2,372","8,924","5,494",21,"5,515","25,853",213,"26,066","32,365",387,"32,752","26,695",265,"26,960","25,942",90,"26,032","32,804",274,"33,079","29,071",292,"29,362","27,600","1,821","29,421","34,328",674,"35,002","34,328",674,"35,002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCE,WYLF_02Z,D,N,"21,683",466,"22,149","30,710",213,"30,923","29,863",25,"29,888","4,468",10,"4,478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,893",438,"4,331","31,187",679,"31,866","35,537",692,"36,229","16,710","2,320","19,030","18,473",447,"18,919","14,841",864,"15,705","13,448",571,"14,019","10,011","2,014","12,025","8,214",0,"8,214","15,657",8,"15,666","39,050",140,"39,190","32,291",7,"32,298","28,684",40,"28,723","38,859",12,"38,871","33,857",70,"33,927","33,699",652,"34,351","29,849",770,"30,619","29,849",770,"30,619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCE,WYLF_03Z,D,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUCE,WYLF_04Z,D,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETE,PETEM01Z,D,M,133,35,168,52,31,83,231,16,247,99,17,116,127,43,170,118,77,195,16,10,26,0,3,3,34,15,49,0,0,0,41,0,41,51,0,51,363,45,408,285,0,285,1,136,137,600,6,606,122,2,124,207,6,212,23,0,23,27,0,27,0,0,0,208,0,209,229,6,235,380,7,387,225,16,241,47,1,48,47,1,48,198,4,203,89,0,89,163,0,163,168,0,168,162,7,169,152,0,152,158,1,158,114,0,114,190,4,194,360,9,369,478,7,485,376,0,376,646,21,667,123,8,131,489,6,495,123,18,141,299,3,301,15,0,15,71,0,71,1,1,2,8,0,8,152,7,159,13,0,13,21,0,21,20,0,20,68,0,68,220,0,220,31,0,31,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.49,0,0,0,0,3.38,3.38,0,0,0,65.68,1.61,67.29,127.89,2.72,130.61,65.48,3.28,68.76,82.29,0.18,82.47
PGEN,GRAI_01Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,GRAI_03Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,GRAI_04Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,GRAI_06Z,D,S,"6,846","2,326","9,172","10,385","3,254","13,639","20,732","4,523","25,256","6,469","4,153","10,622",984,"4,513","5,498","2,384","3,988","6,372","2,705","3,389","6,094",0,0,0,"12,850","2,013","14,863","14,996","2,174","17,170","21,104","1,820","22,925","6,983","3,407","10,390","22,239","3,281","25,520","14,523","4,581","19,104","7,690","3,942","11,633","3,076","4,321","7,397","3,380","4,059","7,440","4,619","6,074","10,693","4,386","4,667","9,053","5,733",834,"6,567","6,169","4,140","10,309","2,679","4,858","7,537","8,241","4,187","12,429","5,248","3,869","9,117","8,161","3,078","11,239","8,457","4,688","13,145","8,457","4,688","13,145","11,114","4,427","15,541","6,086","4,127","10,213","8,548","2,166","10,714","7,716","1,394","9,110","19,017","2,398","21,415","19,813","2,096","21,909","1,655","4,745","6,400","4,228","4,677","8,904","12,621","3,331","15,952","15,840","2,911","18,751","17,617","2,997","20,614","15,714","3,148","18,862","11,464","2,748","14,212","29,238","3,764","33,002","25,972","3,629","29,601","14,956","2,567","17,523","14,992","4,306","19,298","28,229","3,190","31,419","26,152","2,906","29,058","18,931","2,572","21,503","14,888","2,488","17,376","19,500","2,419","21,919","18,778","4,172","22,951","10,781","4,345","15,126","10,780","3,902","14,682","9,728","3,509","13,237","11,629","3,395","15,024","6,838","3,665","10,504","6,368","3,089","9,457","3,016","3,408","6,424",0,0,0,"2,537",153,"2,690","12,551","2,112","14,663","8,059","1,786","9,845",0,0,0,0,0,0,16115.8,1557.75,17673.55,17476.45,2645.15,"20,122",20964.75,2761.5,"23,726","24,716","4,358","29,075",27196.05,2742.4,29938.45,28270.65,1904.35,30175,21334.85,4214.45,25549.3,27636.85,2544.45,30181.3,9312.85,1285.9,10598.75,25855.8,3535.4,29391.2,14615.65,3284.35,17900,16439.35,4115.55,20554.9,14979.55,3843.95,18823.5,14136.85,3879.05,18015.9,23844.4,2869,26713.4
PGEN,GRAI_07Z,D,S,"4,907","1,635","6,542",0,0,0,"6,228","2,588","8,816","14,483","3,369","17,852","3,518","2,506","6,023","14,815","2,613","17,428","20,021","2,317","22,338","7,220","3,001","10,221","21,618","1,900","23,517","12,012","1,757","13,769","12,756","2,670","15,425","11,091","3,604","14,695","19,568","2,140","21,708","12,848","3,092","15,940","6,609","2,928","9,538","5,300","2,811","8,112","4,011","2,676","6,687","5,729","2,814","8,543","1,879","1,270","3,149","11,681","1,762","13,443","5,036","2,795","7,831","3,795","3,776","7,571","6,069","3,238","9,307","16,132","2,473","18,605","10,691","2,254","12,945","4,983","2,801","7,784","4,983","2,801","7,784","10,075","2,895","12,970","6,240","3,655","9,895","16,320","3,080","19,401","11,002","2,508","13,510","11,780","2,585","14,365","7,991","1,474","9,465","17,237","2,223","19,460","29,181","3,770","32,951","36,437","3,158","39,595","27,960","2,120","30,079","20,675","3,341","24,016","26,142","2,644","28,786","32,571","2,784","35,355","25,707","3,879","29,586","30,003","2,444","32,447","19,404","1,452","20,855","7,551",720,"8,271",0,0,0,216,606,821,"18,408","1,942","20,350","20,199","3,214","23,412","13,201","2,202","15,403","11,601","1,356","12,957","9,104","3,313","12,417","14,956","1,983","16,939","13,109","1,861","14,970","9,132",430,"9,561","21,028",370,"21,397","11,350","2,829","14,180","13,877","2,391","16,268","15,092","1,219","16,311","10,783","2,159","12,942","10,581","2,047","12,628","14,045","1,586","15,631",0,0,0,0,0,0,16327.9,1743.3,18071.2,11227.1,2469.3,"13,696",18006.95,2549.45,"20,556","10,168","2,946","13,114",19120.75,2471.45,21592.2,24048.9,2205.3,26254.2,24358.75,2526.1,26884.85,17723.95,1991.45,19715.4,8344.05,1253.4,9597.45,9559.3,2937.55,12496.85,11542.6,3162.65,14705.25,10619.15,3454.45,14073.6,13057.85,3130.5,16188.35,8292.45,2896.5,11188.95,26536.9,2627.2,29164.1
PGEN,GRAI_08Z,D,S,"7,912","2,576","10,489",0,0,0,"3,393",582,"3,976","9,873","3,042","12,915","5,689","3,367","9,057","4,112","2,011","6,123","20,649","2,656","23,305","22,554","4,537","27,091","17,334","1,727","19,061","10,768","1,954","12,722","29,518","2,557","32,076","25,785","2,082","27,867","33,865","3,316","37,181","20,222","2,169","22,391","9,839","2,677","12,516","3,303","1,851","5,154","4,521","4,814","9,335","7,861","3,198","11,059","7,029","3,411","10,440","9,434",906,"10,340","1,281","1,049","2,330","4,440","2,764","7,205","6,218","2,101","8,320","20,302","2,427","22,729",780,86,866,"6,847","3,115","9,961","6,847","3,115","9,961","9,560","3,498","13,058","4,055","3,556","7,611","15,718","2,283","18,001","8,558","1,964","10,522","41,594","2,144","43,738","19,097","2,443","21,540","19,731","1,946","21,677","16,461","4,039","20,500","21,274","2,121","23,395","23,016","3,105","26,121","21,039","2,950","23,989","36,426","2,518","38,944","16,892","2,122","19,014","1,725","2,049","3,773","6,842","2,412","9,254","7,168","1,424","8,592","2,749","1,445","4,194","8,270","1,463","9,732","5,563","1,676","7,239","2,446","1,533","3,979","5,870","1,738","7,608","6,574","2,529","9,103","9,151","2,409","11,559","5,804","2,149","7,952","18,165","3,393","21,558","1,865","1,992","3,857","6,473","2,619","9,092",0,0,0,0,0,0,860,360,"1,220","19,239","2,352","21,591","23,773","3,262","27,034","15,662","2,893","18,555","8,379","1,517","9,896",0,0,0,0,0,0,17098.4,1374.05,18472.45,13637.45,2952,"16,589",17121.55,2583.4,"19,705","14,855","3,526","18,381",12126.05,3123.65,15249.7,28709,1659,30368,26561.8,1727.35,28289.15,16215.35,2248.55,18463.9,3559.45,156.75,3716.2,7559.05,3037.45,10596.5,11744.95,2781.7,14526.65,11082.15,2868.55,13950.7,4895.8,1909.3,6805.1,7294.4,3512,10806.4,14876.75,1781.55,16658.3
PGEN,KILLP01Z,D,N,221,"1,802","2,023","1,235",775,"2,010",280,923,"1,203",302,"7,576","7,878",653,633,"1,286",175,"2,092","2,267",612,"1,719","2,330",51,"1,595","1,646",19,"1,461","1,480",595,"2,087","2,682",232,"1,808","2,040",256,"2,878","3,134",200,"2,764","2,963",121,"1,818","1,939",257,"2,265","2,522",219,"2,515","2,735",117,"2,436","2,553",286,"2,863","3,149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,76,135,12,17,28,0,0,0,0,0,0,8,9,17,22,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,30,544,"1,186","1,730",817,366,"1,183",916,24,939,618,149,767,277,155,432,554,719,"1,272",695,115,811,193,788,981,109,"1,063","1,172",187,597,784,17,405,422,106,951,"1,058",83,"1,181","1,263",187,851,"1,038","1,109",17,"1,126",1098.1,48.2,1146.3,1676.65,19.7,"1,696",1192.1,32.6,"1,225",328,355,683,46.65,871.55,918.2,0,0,0,291.35,1091.85,1383.2,5.9,909.4,915.3,11.05,925.55,936.6,1622.2,164.4,1786.6,539.2,378.75,917.95,998.6,273.75,1272.35,846.3,118.45,964.75,687.75,32.6,720.35,992.55,27.3,1019.85
PGEN,KILLP02Z,D,N,82,"2,830","2,912","1,230","1,383","2,613",332,"1,551","1,883",138,"1,884","2,022",179,"1,128","1,307",58,"2,721","2,778",159,"2,429","2,588",6,"2,167","2,173",362,"2,182","2,544","1,178","2,925","4,103","1,783","2,364","4,147","1,045","3,333","4,378",786,"3,266","4,052",829,"2,606","3,436",149,"2,979","3,127",380,"2,905","3,285",115,"3,016","3,131",60,"3,209","3,269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,145,214,4,17,20,0,0,0,0,0,0,1,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,44,336,"1,106","1,442",754,326,"1,079",753,26,780,573,62,634,211,133,345,293,669,962,747,237,984,122,543,664,61,856,917,152,453,605,67,545,612,15,723,739,10,988,998,54,716,770,873,17,890,549.85,44.35,594.2,1338.3,37.9,"1,376",957.95,24.2,982,269,410,679,85.15,664.95,750.1,121.85,518.25,640.1,335,774.1,1109.1,5.95,910.75,916.7,34.45,1084.15,1118.6,1596.9,492.6,2089.5,373.55,180.4,553.95,985.9,593.65,1579.55,748.75,117.7,866.45,593.15,24.95,618.1,891.3,25.6,916.9
PGEN,KINO_01Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,KINO_02Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,KINO_03Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEN,KINO_04Z,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
