Data,Unit ID,Time From,Time To,Pair ID,Availability Power,Utilisation Price,Service ID
AV,EDFE-8,2025-10-09T16:30:00,2025-10-09T17:00:00,-1,0.0,66.97,NQR
AV,EDFE-8,2025-10-09T16:30:00,2025-10-09T17:00:00,1,0.0,158.79,PQR
AV,EDFE-21,2025-10-09T16:30:00,2025-10-09T17:00:00,1,0.0,261.84,PQR
AV,EDFE-11,2025-10-09T16:30:00,2025-10-09T17:00:00,-1,0.0,56.86,NQR
AV,EDFE-21,2025-10-09T16:30:00,2025-10-09T17:00:00,-1,0.0,69.96,NQR
AV,EDFE-11,2025-10-09T16:30:00,2025-10-09T17:00:00,1,0.0,158.79,PQR
AV,EDFE-11,2025-10-09T17:00:00,2025-10-09T17:30:00,1,0.0,140.79,PQR
AV,EDFE-21,2025-10-09T17:00:00,2025-10-09T17:30:00,-1,0.0,69.48,NQR
AV,EDFE-11,2025-10-09T17:00:00,2025-10-09T17:30:00,-1,0.0,56.45,NQR
AV,EDFE-8,2025-10-09T17:00:00,2025-10-09T17:30:00,-1,0.0,56.45,NQR
AV,EDFE-8,2025-10-09T17:00:00,2025-10-09T17:30:00,1,0.0,140.79,PQR
AV,EDFE-21,2025-10-09T17:00:00,2025-10-09T17:30:00,1,0.0,244.02,PQR
AV,EDFE-21,2025-10-09T17:30:00,2025-10-09T18:00:00,-1,0.0,69.48,NQR
AV,EDFE-11,2025-10-09T17:30:00,2025-10-09T18:00:00,-1,0.0,56.45,NQR
AV,EDFE-8,2025-10-09T17:30:00,2025-10-09T18:00:00,-1,0.0,56.45,NQR
AV,EDFE-8,2025-10-09T17:30:00,2025-10-09T18:00:00,1,0.0,133.78,PQR
AV,EDFE-11,2025-10-09T17:30:00,2025-10-09T18:00:00,1,0.0,133.77,PQR
AV,EDFE-21,2025-10-09T17:30:00,2025-10-09T18:00:00,1,0.0,249.81,PQR
AV,EDFE-11,2025-10-09T18:00:00,2025-10-09T18:30:00,-1,0.0,59.7,NQR
AV,EDFE-21,2025-10-09T18:00:00,2025-10-09T18:30:00,-1,0.0,75.11,NQR
AV,EDFE-11,2025-10-09T18:00:00,2025-10-09T18:30:00,1,0.0,125.73,PQR
AV,EDFE-21,2025-10-09T18:00:00,2025-10-09T18:30:00,1,0.0,191.14,PQR
AV,EDFE-8,2025-10-09T18:00:00,2025-10-09T18:30:00,-1,0.0,61.21,NQR
AV,EDFE-8,2025-10-09T18:00:00,2025-10-09T18:30:00,1,0.0,125.73,PQR
AV,EDFE-11,2025-10-09T18:30:00,2025-10-09T19:00:00,-1,0.0,59.7,NQR
AV,EDFE-8,2025-10-09T18:30:00,2025-10-09T19:00:00,-1,0.0,70.24,NQR
AV,EDFE-21,2025-10-09T18:30:00,2025-10-09T19:00:00,1,0.0,180.86,PQR
AV,EDFE-21,2025-10-09T18:30:00,2025-10-09T19:00:00,-1,0.0,60.49,NQR
AV,EDFE-11,2025-10-09T18:30:00,2025-10-09T19:00:00,1,0.0,128.03,PQR
AV,EDFE-8,2025-10-09T18:30:00,2025-10-09T19:00:00,1,0.0,128.03,PQR
AV,EDFE-8,2025-10-09T19:00:00,2025-10-09T19:30:00,1,0.0,111.94,PQR
AV,EDFE-21,2025-10-09T19:00:00,2025-10-09T19:30:00,-1,0.0,59.65,NQR
AV,EDFE-8,2025-10-09T19:00:00,2025-10-09T19:30:00,-1,0.0,58.86,NQR
AV,EDFE-11,2025-10-09T19:00:00,2025-10-09T19:30:00,1,0.0,111.93,PQR
AV,EDFE-11,2025-10-09T19:00:00,2025-10-09T19:30:00,-1,0.0,58.86,NQR
AV,EDFE-21,2025-10-09T19:00:00,2025-10-09T19:30:00,1,0.0,165.79,PQR
AV,EDFE-8,2025-10-09T19:30:00,2025-10-09T20:00:00,1,0.0,212.86,PQR
AV,EDFE-21,2025-10-09T19:30:00,2025-10-09T20:00:00,-1,0.0,58.73,NQR
AV,EDFE-8,2025-10-09T19:30:00,2025-10-09T20:00:00,-1,0.0,57.95,NQR
AV,EDFE-11,2025-10-09T19:30:00,2025-10-09T20:00:00,-1,0.0,57.95,NQR
AV,EDFE-11,2025-10-09T19:30:00,2025-10-09T20:00:00,1,0.0,114.23,PQR
AV,EDFE-21,2025-10-09T19:30:00,2025-10-09T20:00:00,1,0.0,163.28,PQR
AV,EDFE-21,2025-10-09T20:00:00,2025-10-09T20:30:00,-1,0.0,72.33,NQR
AV,EDFE-11,2025-10-09T20:00:00,2025-10-09T20:30:00,1,0.0,111.93,PQR
AV,EDFE-21,2025-10-09T20:00:00,2025-10-09T20:30:00,1,0.0,153.24,PQR
AV,EDFE-8,2025-10-09T20:00:00,2025-10-09T20:30:00,1,0.0,109.79,PQR
AV,EDFE-8,2025-10-09T20:00:00,2025-10-09T20:30:00,-1,0.0,69.27,NQR
AV,EDFE-11,2025-10-09T20:00:00,2025-10-09T20:30:00,-1,0.0,58.86,NQR
AV,EDFE-8,2025-10-09T20:30:00,2025-10-09T21:00:00,-1,0.0,57.95,NQR
AV,EDFE-8,2025-10-09T20:30:00,2025-10-09T21:00:00,1,0.0,121.13,PQR
AV,EDFE-11,2025-10-09T20:30:00,2025-10-09T21:00:00,1,0.0,121.13,PQR
AV,EDFE-11,2025-10-09T20:30:00,2025-10-09T21:00:00,-1,0.0,57.95,NQR
AV,EDFE-21,2025-10-09T20:30:00,2025-10-09T21:00:00,1,0.0,147.97,PQR
AV,EDFE-21,2025-10-09T20:30:00,2025-10-09T21:00:00,-1,0.0,71.24,NQR
AV,EDFE-8,2025-10-09T21:00:00,2025-10-09T21:30:00,-1,0.0,57.95,NQR
AV,EDFE-11,2025-10-09T21:00:00,2025-10-09T21:30:00,-1,0.0,57.95,NQR
AV,EDFE-21,2025-10-09T21:00:00,2025-10-09T21:30:00,-1,0.0,71.24,NQR
AV,EDFE-21,2025-10-09T21:00:00,2025-10-09T21:30:00,1,0.0,151.61,PQR
AV,EDFE-11,2025-10-09T21:00:00,2025-10-09T21:30:00,1,0.0,115.38,PQR
AV,EDFE-8,2025-10-09T21:00:00,2025-10-09T21:30:00,1,0.0,115.38,PQR
AV,EDFE-11,2025-10-09T21:30:00,2025-10-09T22:00:00,-1,0.0,58.86,NQR
AV,EDFE-8,2025-10-09T21:30:00,2025-10-09T22:00:00,-1,0.0,58.86,NQR
AV,EDFE-11,2025-10-09T21:30:00,2025-10-09T22:00:00,1,0.0,116.53,PQR
AV,EDFE-21,2025-10-09T21:30:00,2025-10-09T22:00:00,-1,0.0,72.33,NQR
AV,EDFE-21,2025-10-09T21:30:00,2025-10-09T22:00:00,1,0.0,155.62,PQR
AV,EDFE-8,2025-10-09T21:30:00,2025-10-09T22:00:00,1,0.0,171.41,PQR
AV,EDFE-8,2025-10-09T22:00:00,2025-10-09T22:30:00,1,0.0,151.98,PQR
AV,EDFE-8,2025-10-09T22:00:00,2025-10-09T22:30:00,-1,0.0,69.66,NQR
AV,EDFE-11,2025-10-09T22:00:00,2025-10-09T22:30:00,-1,0.0,59.2,NQR
AV,EDFE-21,2025-10-09T22:00:00,2025-10-09T22:30:00,-1,0.0,59.99,NQR
AV,EDFE-11,2025-10-09T22:00:00,2025-10-09T22:30:00,1,0.0,110.79,PQR
AV,EDFE-21,2025-10-09T22:00:00,2025-10-09T22:30:00,1,0.0,112.84,PQR
AV,EDFE-8,2025-10-09T22:30:00,2025-10-09T23:00:00,-1,0.0,59.99,NQR
AV,EDFE-11,2025-10-09T22:30:00,2025-10-09T23:00:00,-1,0.0,59.99,NQR
AV,EDFE-11,2025-10-09T22:30:00,2025-10-09T23:00:00,1,0.0,111.93,PQR
AV,EDFE-21,2025-10-09T22:30:00,2025-10-09T23:00:00,1,0.0,115.0,PQR
AV,EDFE-8,2025-10-09T22:30:00,2025-10-09T23:00:00,1,0.0,111.94,PQR
AV,EDFE-21,2025-10-09T22:30:00,2025-10-09T23:00:00,-1,0.0,60.78,NQR
AV,EDFE-8,2025-10-09T23:00:00,2025-10-09T23:30:00,1,0.0,110.79,PQR
AV,EDFE-21,2025-10-09T23:00:00,2025-10-09T23:30:00,-1,0.0,61.66,NQR
